date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:28	6522/6522	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.eot	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.eot	(from https://siceuc.ucol.mx/css/style.css)
11:35:30	6522/6522	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.eot?	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfontd41d.eot	(from https://siceuc.ucol.mx/css/style.css)
11:35:30	7696/7696	---M--	200	added ('OK')	font/x-woff	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.woff	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.woff	(from https://siceuc.ucol.mx/css/style.css)
11:35:32	12144/12144	---M--	200	added ('OK')	application/octet-stream	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.ttf	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.ttf	(from https://siceuc.ucol.mx/css/style.css)
11:35:32	26739/26739	---M--	200	added ('OK')	image/svg+xml	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.svg	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/css/websymbols/websymbols-regular-webfont.svg	(from https://siceuc.ucol.mx/css/style.css)
11:35:33	1438/1438	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/header-bg.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/header-bg.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:33	2211/2211	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/header-shadow.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/header-shadow.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:34	948/948	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/menu-sep.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/menu-sep.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:34	1050/1050	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/nav-act.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/nav-act.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:35	943/943	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/nav-dd.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/nav-dd.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:35	1104/1104	---M--	200	added ('OK')	image/png	etag:%2209b1a8996bdcf1:0%22	https://siceuc.ucol.mx/img/titulo_overlay.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/titulo_overlay.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:36	1588/1588	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/bgtitulos.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/bgtitulos.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:36	927/927	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/lineaverde.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/lineaverde.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:36	2309/2309	---M--	200	added ('OK')	image/png	etag:%22041b88696bdcf1:0%22	https://siceuc.ucol.mx/img/carousel-control.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/carousel-control.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:37	2866/2866	---M--	200	added ('OK')	image/png	etag:%2209b1a8996bdcf1:0%22	https://siceuc.ucol.mx/img/social-profiles.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/social-profiles.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:37	2833/2833	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/footer-shadow.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/footer-shadow.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:38	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:35:36%20GMT	https://siceuc.ucol.mx/img/widget-title.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/widget-title.22.delayed	(from https://siceuc.ucol.mx/css/style.css)
11:35:38	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Apr%202024%2017:35:36%20GMT	https://siceuc.ucol.mx/img/titulosFooter.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/titulosFooter.23.delayed	(from https://siceuc.ucol.mx/css/style.css)
11:35:39	1585/1585	---M--	200	added ('OK')	image/png	etag:%2206ee98796bdcf1:0%22	https://siceuc.ucol.mx/img/icons.png	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/img/icons.png	(from https://siceuc.ucol.mx/css/style.css)
11:35:39	1202/1202	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2030%20Apr%202024%2017:35:37%20GMT	https://siceuc.ucol.mx/reinscripciones.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/reinscripciones.25.delayed	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:35:40	0/-1	---M--	302	error ('')			https://siceuc.ucol.mx/ssocial.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/ssocial.26.delayed	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:35:40	21799/21799	---M--	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2017:35:38%20GMT	https://siceuc.ucol.mx/index.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/index-2.html	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:35:40	0/-1	---M--	302	error ('')			https://siceuc.ucol.mx/ssocial.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/ssocial.28.delayed	(from https://siceuc.ucol.mx/index.asp)
11:35:40	0/-1	---M--	500	error ('')			https://siceuc.ucol.mx/reinscripciones.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/reinscripciones.html	(from https://siceuc.ucol.mx/evaluaciones.asp)
11:35:40	0/-1	---M--	500	error ('')			https://siceuc.ucol.mx/reinscripciones.asp	C:/Users/MAnge/OneDrive/Documentos/software-seguro_Siceuc/Siceuc/siceuc.ucol.mx/reinscripciones.html	(from https://siceuc.ucol.mx/evaluaciones.asp)
